0,1,2
0,India adds 3 lakh+ Covid cases for second day; over half a million cases in past 2 days,"NEW DELHI: On Thursday, India added over 3.3 lakh cases. This was the second consecutive day when it added over 3 lakh new cases. No country so far has added these many cases for two consecutive days.Data collated by the WHO shows that there have been only two other occasions when new cases added by a country crossed 3,00,000 on a single day . This happened on December 20, 2020 and January 10, 2021 when the US added 4,02,270 and 3,13,516 new cases on a single day.If cases continue to grow at this rate then India will add about a million cases in three days â a feat that is unparalleled so far.No other country has seen such a level of new cases and evidently, the healthcare system of no other country has ever been so overwhelmed by Covid The impact of this level of cases â more than a lakh new cases for the 17th consecutive day is evident on the healthcare system and there is a steady increase in daily fatality.For the 10th consecutive day, India has witnessed over a thousand daily deaths of which the last three days saw over 2,000 daily deaths. In the past 10 days over 15,000 people have died because of Covid or related complications.Among states, Maharashtra continues to lead with 67,013 new cases."
0,India’s Covid-19 tally 330k+; Delhi 1-day toll 306,"A day after India became the world’s worst Covid-19 hot spot ever, the country again broke all previous records on Thursday, adding 332,394 new cases and 2,255 new deaths amid a massive second wave of infections that has continued to exceed all global peaks and overwhelmed the nation’s health care system.Till Thursday night, 16,257,091 people are confirmed to have been infected with the disease in the country, of which 186,948 lost their lives.The seven-day average of new cases in the country now stands at 264,838 infections a day. This means that the country, on average, is currently reporting nearly thrice as many cases as it was during the absolute worst of the first wave – India’s first wave of cases peaked at 93,617 for the week ending September 16, 2020, according to HT’s Covid-19 dashboard. On average, 1,800 people have lost their lives to the disease in the country every day in the last week. In the same period, nearly two million people (1,969,347) have been infected in the country.The positivity rate – the proportion of tests that are positive for Covid-19 – continued to soar, with nearly one out of every five samples tested across the country returning positive.Delhi, meanwhile, lodged a record 306 deaths due to the disease and registered 26,169 new cases with an alarmingly high positivity rate of 36.2%, the highest ever recorded since the start of the pandemic in March last year."
0,"Violence mars 6th phase of polls, over 79% voter turnout"," Injuries to two people in police firing and stray incidents of violence marked the sixth phase of polling in West Bengal on Thursday that was largely peaceful across four districts and held amid an alarming spike in coronavirus infections in the state. Polling was held for nine seats each in North Dinajpur and Nadia, 17 in North 24 Parganas, and eight in East Burdwan district. Provisional turnout stood at 79.09 %, comparatively lower than the polling percentage recorded in the first five phases. In the sixth phase, 306 candidates were in the fray. “Polling was today conducted peacefully in 14,480 polling stations,” the election commission (EC) said in a statement. With the sixth phase, polling has been held now for 223 of 294 seats. At Bagda in North 24 Parganas, a mob allegedly attacked a state police team, injuring a constable and the officer-in-charge of Bagda police station, EC officials said. When police fired three rounds to disperse the mob, two villagers suffered leg injuries. The incident triggered a slugfest between Trinamool Congress (TMC) and Bharatiya Janata Party (BJP) leaders. “Police opened fire on innocent villagers. Even the state police are now under the control of the EC,” said TMC spokesperson Snehasish Chakraborty. “The attack on the state police was an outcome of the instigating speeches by chief minister Mamata Banerjee. Four men were killed at Sitalkuchi in north Bengal (on April 10) when central forces opened fire in self defence. Before that incident, Banerjee asked people to attack central forces,” said BJP state vice-president Jay Prakash Majumdar. Voting took place amid a spike in coronavirus infections. The state reported more than 10,000 infections on Wednesday and 11,948 on Thursday. Fifty-six people died in Bengal between Wednesday and Thursday morning. Prime Minister Narendra Modi cancelled the four rallies he was to address in Bengal on Friday. “Tomorrow, will be chairing high-level meetings to review the prevailing COVID-19 situation. Due to that, I would not be going to West Bengal,” Modi tweeted. He was supposed to address a rally at the Shahid Minar grounds in the heart of Kolkata. Union home minister Amit Shah, who addressed a rally in South Dinajpur district where polls will be held on April 26, said by the time polling in the sixth phase ends, the BJP will secure an absolute majority. “But we still want you to vote for us so that BJP gets over 200 seats.” In North 24 Parganas district, TMC and BJP workers clashed in Ashoknagar, Barrackpore and Bijpur. BJP workers alleged that six people sustained splinter injuries when bombs went off at Ashoknagar. TMC workers blamed central forces for opening fire on them and said a man was shot in his leg. Central paramilitary officers posted in the area dismissed the allegation saying no shots were fired anywhere. The EC sought a report from the local administration as the election watchdog’s police observer, Navin Kumar, rushed to the area. BJP national vice-president Mukul Roy’s son, Subhranshu Roy, who was contesting from Bijpur seat in North 24 Parganas, alleged that bombs were hurled at their supporters. Mukul Roy contested the Krishnanagar North seat in Nadia district against actress Kaushani Mukherjee (TMC). “I was gheraoed by BJP workers in some areas when I was visiting polling booths,” alleged Mukherjee. Shah and chief minister Mamata Banerjee held rallies in districts where polls will be held in the last two phases on April 26 and 29. Addressing a rally in Malda district, where Muslims comprise majority of the population, Banerjee said: “There was a time when some people were in the CPI(M). They terrorised people. Now, the same people are in the BJP and still terrorising people... I will never let the BJP enforce the National Population Register and National Register of Citizens in Bengal, not as long as I am alive.” "
1,O2 supply up but hosps may still need to cap its use,"NEW DELHI: The government may be able to ramp up oxygen supply for medical use by another 11-12% to around 7,000 metric tonnes following restrictions imposed on the use by industry, but a further increase may be possible once imports start flowing in.Over the last few days, supply of oxygen for medical use has been significantly enhanced to meet the rising demand from Covid patients, although most states and hospitals are demanding more.While oxygen for medical use constituted just over a third of the production at the start of the month, it went up to around 55% along with higher output, and was estimated to be more 77% of the production on Tuesday, according to data available with the Centre.Production too has been increased to around 113% of the capacity (see graphic).âNow that only the nine identified industrial segments will receive oxygen, there will be more supply for medical use. It may be around 7,000 MT in the coming days,â a government source told TOI.Given the current production capacity, it may be tough to stretch beyond current levels and as a result, supply for medical use will also need to be capped at a certain level. This will mean that hospitals will need to use the available resources better till more supplies come in â a challenge given the rising burden of infections and higher number of patients needing breathing support.Earlier this week, the government had decided to limit supplies only to a handful of industries including pharma , nuclear power plants, steel units and oil refineries.Following the rise in cases across several states, the allocation formula has been tweaked with Maharashtra , which has the highest number of cases for several weeks now, getting the highest allocation of 1,425 metric tonnes a day, a 37% jump over the earlier level. The highest increase has been made in the case of Kerala , with Delhi too seeing a 67% jump."
1,Steps taken to resolve the crisis,"MHA has directed states and UTs to ensure the following:• No restriction on movement of medical oxygen between states•No restrictions of oxygen manufacturers or suppliers to supply only hospitals in the state/UT where they are located.•Free movement of oxygen-carrying vehicles into all cities and towns•No authority must attach oxygen vehicles passing through their state/district to make specific supplies in their area•Supply of oxygen for industrial purposes halted from Thursday, till further orders24*7 control room in Delhi: DDMA sets up 24*7 control room to redress grievances, complaints from city hospitals within 30 minutes"
2,"Court seeks CBI, ED reply on Michel bail","Delhi court on Thursday sought the responses of the Central Bureau of Investigation (CBI) and Enforcement Directorate (ED) on two bail applications by alleged middleman Christian Michel, who was arrested in connection with the AgustaWestland VVIP chopper scam cases.Special CBI judge Arvind Kumar issued notices to the probe agencies, and sought their responses by May 6, when the case will be heard next.Michel, accused in a case of corruption filed by the CBI in relation to the scam and another case of money laundering filed by the ED, moved the bail applications through advocates Sriram Parakkat and Aljo Joseph, saying that no purpose was being served by keeping him in custody.“The applicant has undergone almost 600 hours of custodial interrogation by both the agencies. As of today, the applicant has spent more than two years and four months, in addition to the period which he spent in Dubai jail,” he said in his application.Special public prosecutor NK Matta and advocate DP Singh received the notice for ED and CBI respectively.Michel, extradited from Dubai, was arrested by ED in December 2018.Michel is among the three alleged middlemen being probed in the case by ED and CBI in the case. The other two are Guido Haschke and Carlo Gerosa."
2,"Give country solution, not hollow speeches: Rahul Gandhi to govt on COVID-19 situation","Gandhi also took to Instagram, saying he has hope and faith that the people of the country will defeat the virus by working together. (Express Photo by Praveen Khanna)

The crisis in the country is not just due to coronavirus but also because of “anti-people” policies of the central government, Congress leader Rahul Gandhi said on Thursday, and called for a solution instead of hollow speeches.

He also attacked the government, alleging it has brought destruction and has turned the middle-class poor.

The Congress has been targeting the government over its management of the COVID-19 situation in the country.

“I am quarantined at home and sad news is constantly coming in. The crisis in India is not just due to Corona, but due to the anti-people policies of the central government. Don’t give false celebrations and hollow speeches, give the country a solution,” Gandhi said in a tweet in Hindi.

In another tweet, he said, “The poor are not just a number, they are living people and hundreds of helpless families. Crushing the middle-class and turning them poor, the BJP government has shown how destruction can be done.”

Gandhi also cited a media report claiming that India has been added to the list of countries having collective poverty after a span of 45 years.

The Congress leader tested positive for COVID-19 earlier this week. He reported mild symptoms and has been quarantined at home.

Gandhi also took to Instagram, saying he has hope and faith that the people of the country will defeat the virus by working together.

“One day we will hug again. I have hope and faith in the human spirit, in the Indian spirit. We will heal. We will defeat this virus and we will do it by working together,” he said.

“I want to thank all our healthcare workers & front line workers for their sacrifice & continued dedication, and the hundreds and thousands of Indian citizens going above and beyond to help their fellow countrymen. Each one of you gives us hope,” Gandhi added.

India registered over 3.14 lakh new coronavirus cases on Thursday, the highest-ever single-day count recorded in any country, taking its infection tally to 1,59,30,965."
2,Maulana Wahiduddin Khan: The advocate of religious harmony who told Muslims to relinquish Babri claims,"Maulana Wahiduddin Khan advocated peaceful coexistence in a multi-ethnic society which won him thousands of admirers, but also provoked the hardliners or a section of the Muslim community.

“All his life he said what he really believed in. He did not care about what people would say or how they would react. So some people liked him so much, some people did not like him but it did not deter him. He kept on saying what he really believed in.”

This is how Zafarul Islam Khan remembers his father, Maulana Wahiduddin Khan, the noted Islamic scholar, spiritual leader and author who died of Covid complications on Wednesday. He was 97.

Khan was a towering personality not just in India but across the Islamic world. Known for his Gandhian views, he advocated peaceful coexistence in a multi-ethnic society, which won him thousands of admirers. But his views also provoked hardliners or a section of the Muslim community.

For instance, his views on the Ayodhya dispute, asking Muslims to relinquish claims over Babri Masjid site, riled many.

In 1993, he wrote in an article: “The issue of Ayodhya’s Babri Masjid has turned into one of life and death for the Muslim community. The tragic event of December 6 gave a serious jolt to the conscience of the country. What was deplorable was that it made a mockery of the promises by the leaders of the Ram Mandir movement. Given all these factors, the destruction of the mosque was not simply the demolition of a structure; it was akin to the negation of an entire history.”

Saddened by the passing away of Maulana Wahiduddin Khan. He will be remembered for his insightful knowledge on matters of theology and spirituality. He was also passionate about community service and social empowerment. Condolences to his family and countless well-wishers. RIP. — Narendra Modi (@narendramodi) April 22, 2021

But he advanced a three-point peace formula, which he said could solve the problem provided the Hindus, Muslims and the government abided by it. He said the “movement launched by the Hindus should be stopped at Ayodhya”.

“Assurance to this effect could take the form of a written declaration signed by all the four Shankaracharyas and by responsible people belonging to those Hindu organisations involved in the mandir-masjid movement. This should expressly state that after Ayodhya’s Babri mosque no mosque’s right to continued existence will ever again be challenged by the Hindus…”

On their part, he said the Muslims should preserve a strict silence on the issue of Ayodhya. “If the protection of the Babri Masjid was their responsibility, they have now discharged it by the sacrifices they have made. Now they have reached a point where there is very little else that they can do. As such, Muslims should consciously resolve to distance themselves entirely from this issue. Till now they have been forced to take up this cause, but henceforth they should leave it to the conscience of the nation,” he said.

The government of India, he said, should pass the Places of Worship Act in 1991, maintaining the status quo as on August 15, 1947, in order to guarantee the security of all places of worship.

He also embarked on a peace march through Maharashtra along with Acharya Muni Sushil Kumar and Swami Chidanand after the Babri Masjid demolition.

In 2003, he wrote another article saying it is time Muslims must bring to an end all violent activities and devote their energies to achieving a two-point formula of education and dawah. “Education will bring their succeeding generations into line with modern standards, and dawah work will provide them with a global mission through which they will be able to chalk out a proper line of action for themselves,” he wrote.

His son Zafarul Islam Khan said, “Millions in India and other countries admired him for what he said. He basically wanted to bring people together, to forget past acrimonies, to start a new life…forgiving was very important to him… that is what he preached.”

Khan was a known peace activist. Earlier this year, the Narendra Modi government honoured him with the Padma Vibhushan. On Thursday, Modi tweeted: “Saddened by the passing away of Maulana Wahiduddin Khan. He will be remembered for his insightful knowledge on matters of theology and spirituality. He was also passionate about community service and social empowerment. Condolences to his family and countless well-wishers. RIP.”

A recipient of Padma Bhushan and Rajiv Gandhi National Sadbhavna Award, Khan authored some 200 books, including a commentary and translation of the Quran in English, Hindi and Urdu. He edited a weekly publication of Jamiat Ulema Hind in the 1960s before starting his own venture Al-Risala in 1976. His book ‘God Arises’ is part of the curricula of universities in over six Arab countries."
3,"Coronavirus India, April 22 Highlights: India records world’s highest one-day surge in cases; PM Modi cancels Bengal visit","Large number of patients in ambulances waited endlessly to be admitted into the LNJP hospital, New Delhi on Tuesday late night.Express Photo by Tashi Tobgyal 210421

Reeling under a brutal second wave, India today reported over 3 lakh new cases — the biggest daily spike for any country since the start of the pandemic. With 3,14,835 new cases, the total infections stand at 1,59,30,965. 2,104 deaths pushed the toll to 1,84,657.

The Centre has ordered the state governments to allow free inter-state movement of oxygen carrying vehicles amid growing complaints on blocking of oxygen tankers by police in some states. Meanwhile, Prime Minister Narendra Modi has said he will skip his visit to poll-bound West Bengal on Friday as he would be chairing a high-level meeting on the prevailing Covid situation.

Here is the top news of the day:

PM Modi asks states to act strictly against hoarding of oxygen

Chairing a high-level meeting to review oxygen supply across the country, Prime Minister Narendra Modi asked the state governments to act against any hoarding of oxygen and directed officials to ensure that the oxygen supply to various states happens in a smooth, unhindered manner, PTI reported. He also called for fixing responsibility with the local administration in cases of obstruction of supply.

“PM directed the officials to ensure that oxygen supply to various states happens in a smooth, unhindered manner. He spoke about the need to fix responsibility with the local administration in cases of obstruction. He also asked ministries to explore various innovative ways to increase production & supply of oxygen,” it said.

Tomorrow, will be chairing high-level meetings to review the prevailing COVID-19 situation. Due to that, I would not be going to West Bengal. — Narendra Modi (@narendramodi) April 22, 2021

In a tweet, PM Modi also said he will be chairing a high-level meeting on the prevailing Covid situation on Friday and would skip his visit to West Bengal.

EC bans physical campaigning, expresses ‘anguish’ over flouting of Covid norms

The Election Commission (EC) Thursday banned roadshows, vehicle rallies, and public meetings of over 500 people in West Bengal, noting that political parties and candidates were “still not adhering to the prescribed safety norms” during campaigning. Permissions already given for all such events stands withdrawn, the poll body said.

The order, however, continues to permit gatherings of up to 500 people. Asked why the Commission hasn’t banned campaigning altogether, a senior official told The Indian Express, “We can’t impose a ban on campaigning since people in the state are free to move around even today.”

Centre orders free inter-state movement of oxygen carrying vehicles

With reports of states hoarding on oxygen or stalling its supply to other states coming from across the country, the Centre Thursday issued orders under the Disaster Management Act that no state can hold up supplies of oxygen to another state.

Passing a series of instructions, the order issued by Union Home Secretary Ajay Bhalla said: “no restriction shall be imposed on the movement of medical oxygen between the States and transport authorities shall be instructed to accordingly allow free inter-state movement of oxygen carrying vehicles.”

SC asks Centre to show ‘national plan’ on oxygen supply, vaccination method

The Supreme Court Thursday asked the Centre to put in place a national policy on issues relating to the supply of oxygen, essential drugs and method of vaccination. During the hearing, the court also said that it will examine the judicial power of the High Courts to declare lockdown amid the Covid-19 pandemic. A bench headed by Chief S A Bobde and also comprising of Justices L N Rao and S R Bhat issued notice to the Centre and said it would hear the matter on Friday.

Covid1-19 patients waiting outside LNJP hospital (Express photo by Anil Sharma) Covid1-19 patients waiting outside LNJP hospital (Express photo by Anil Sharma)

Sitaram Yechury’s son dies of COVID-19 in Gurgaon hospital

CPI(M) general secretary Sitaram Yechury on Thursday said his son Ashish died of COVID-19 in the morning. Ashish, a journalist by profession who would have celebrated his 35th birthday on June 9, was recovering well at Gurgaon’s Medanta Hospital, people close to the family added. They described his sudden death at 5.30 am after a two-week battle with the disease as a shock. The CPI(M) Politburo issued a statement announcing the death and offering its condolences to the family.

Ensure oxygen transported to Delhi without any hindrance: HC to Centre

With Delhi accusing Haryana and Uttar Pradesh police of diverting the supply of oxygen, the Delhi High Court Thursday directed the Centre to ensure oxygen is supplied to the national capital as per the allocation order and provide adequate security to lorries transporting oxygen.

Oxygen tankers queued at Bhojpur Oxygen Plant, near Modinagar, Thursday, April 22, 2021. (PTI Photo) Oxygen tankers queued at Bhojpur Oxygen Plant, near Modinagar, Thursday, April 22, 2021. (PTI Photo)

The court told asked the Centre that its allocation of oxygen for Delhi from plants in other states like Haryana was not being respected by the local administration there and it needs to be resolved immediately.

UAE bans travel from India amid worsening Covid situation: reports

The UAE has banned travel from India for 10 days from Sunday due to the worsening Covid-19 situation in the country, according to media reports here on Thursday. The travel ban will come into effect from 11.59 pm on Saturday, April 24, and is subject to review after 10 days, the Gulf News reported.

Passengers who have transited through India in the last 14 days are also not permitted to board from any other point to the UAE, the report said.

West Bengal sees nearly 80% polling in sixth phase amid stray incidents of violence

With the state battling a brutal second wave of coronavirus, the sixth phase of West Bengal Assembly elections was conducted amid stray incidents of violence on Thursday. The state witnessed a voter turnout of 79.09 per cent till 5 pm, the Election Commission said. Bengal has been reporting a record number of Covid-19 cases over the past few days, breaching the 10,000-mark of daily infections on Wednesday.

Sonia Gandhi rebukes Centre’s new vaccine policy

Congress president Sonia Gandhi Thursday said the Centre has “abdicated its responsibility of providing free vaccines to people between 18 and 45” in its new vaccination policy. In a letter addressed to Prime Minister Narendra Modi, she added, “At a time when medical resources are scarce, hospital beds are unavailable and oxygen supply and availability of essential medicines are dwindling rapidly, the government shouldn’t allow a policy that reeks of insensitivity. Even with regards to 50% quota for vaccines available with the Centre, the allocation must be transparent and equitable.”

To manage crowds, Kerala stops spot registration for Covid-19 vaccines

Kerala stopped spot registration for Covid-19 vaccination amidst a dwindling stock of vaccines in the state, where a large number of people continued to jostle at vaccination centres to get the vaccine shots. Health department sources said spot registration was stopped not only due to the shortage of the vaccine, but to reduce the rush at vaccination centres. From Thursday onwards, tokens would be issued to only those who have registered their names with the Co-WIN portal.

People waiting to get a token for vaccination at Baker Memorial School, Kottayam. (Express Photo) People waiting to get a token for vaccination at Baker Memorial School, Kottayam. (Express Photo)

300 air passengers skip mandatory Covid-19 test, flee Silchar airport

Around 300 air passengers who landed at Assam’s Silchar airport on Wednesday skipped the mandatory Covid-19 testing and fled from the testing centre, authorities said.

“On Wednesday, 690 people landed at Silchar,” said Sumit Sattawan, ADC, Health, Cachar district, “Some were exempted since they were transit passengers travelling to other northeast states. A total of 189 took the test — out of which six tested positive.” The officer added that around 300 “went away”, skipping the test. “Regarding how they ran away and other details, we are still investigating what exactly happened,” he said, adding that the passengers concerned would be traced.

Maharashtra: Tighter curbs on movement, quarantine for inter-district travel

The Maharashtra government, meanwhile, announced fresh restrictions on office attendance, marriage ceremonies and travel. The new set of restrictions will come into effect from 8 pm on Thursday and will remain in force until 7 am on May 1. Even as it continued to shy away from the use of the word “lockdown” in official communication, the curbs, announced on Wednesday, were more stringent than any other restrictions put in place in the recent past in the state."
3,"Thief leaves 1,710 vaccine doses with an apology","A thief stole 1,710 doses of Covid-19 doses from a hospital in Haryana’s Jind town on Thursday but left it at a tea stall hours later with an apology note saying they didn’t mean to take away coronavirus shots, state police said.The shots were stolen from the personal protective kit centre of the Civil Hospital in Jind around 12.44am, said authorities.Jind deputy superintendent of police (DSP) Jitender Katkar said a man handed over a sealed packet to an old man sitting at a tea stall outside the Civil lines police station on Thursday.“The thief told the old man to hand over the packet to a police personnel and said there is food inside the packet. When the old man brought the packet, the cops found doses inside it. Then, we called the doctors and they checked all vials. No vaccines were found missing,” he said.Inside the packet, police also found a note.“The thief had written ‘sorry- I did not know it was corona vaccine’. We are checking the CCTV footage near the tea stall to identify the thief,” the DSP added.The packet contained 440 doses of Covaxin and 1,270 of Covishield.Earlier in the day, police said two men were caught on CCTV footage breaking into the hospital’s store past midnight. “We have studied the footage in which the two men are seeing breaking into three locks to reach the vaccine stock,” the hospital spokesman said.Civil surgeon Dr Manjeet Singh said: “It seems the thieves came to steal Remdesivir, the medicine to treat Covid-19, but took away the vaccines.”"
