321,"Punjab, Himachal to provide free Covid vaccines in govt hospitals starting May 1",133
474,Vaccination for 18+: Punjab to ensure free jabs at govt facilities,133
184,'The Conjuring: The Devil Made Me Do It' trailer: Patrick Wilson and Vera Farmiga face the biggest and darkest entity as they help solve a murder case,129
351,The Conjuring 3 trailer: Ed and Lorraine Warren take on another horrifying case,129
495,Night curfew hits street food vendors,122
489,Confusion grips K’taka over ‘partial lockdown’,122
128,"Small cos get hit most by lockdowns, may default",122
56,Haryana orders closure of all shops by 6pm,122
476,Mamata to campaign virtually for last phases,110
382,"PM Modi calls off West Bengal campaign on Friday, to attend COVID-19 review meetings",110
487,"PM Modi, Mamata Banerjee go virtual after EC restricts campaigning in Bengal",110
524,CBSE to give more weightage to competency based questions in new academic session,107
392,CBSE introduces changes in assessment and evaluation practices for 2021-22 session,107
510,"Don’t pressure labs to give Covid test reports within 24 or 36 hours, says HC",101
511,"Country is being run by God, remarks HC amid oxygen shortages",101
208,"Create special corridor for oxygen supply to Delhi, HC directs Centre",101
307,"Ensure security for oxygen transport to national capital, HC tells Centre",101
41,Pfizer offers Covid-19 vaccine to govt at ‘not-for-profit’ price,80
488,Pfizer offers vaccine to Indian govt at not-for-profit price,80
484,"Thief leaves 1,710 vaccine doses with an apology",76
231,Thief returnsvaccines withapology note,76
31,Ward boy among 3 held for selling Remdesivir in black market,42
248,Man with Remdesivir injections arrested in Kharghar,42
77,"Four held for hoarding, selling Remdesivir in Bengaluru",42
51,Mumbai: Man held for illegally possessing two vials of Remdesivir,42
326,"Tamil Nadu govt assures high court on the availability of oxygen, ventilators",41
482,TN can share O2 if state’s needs are met: Madras HC,41
117,Madras high court takes suo motu notice of transfer of oxygen from Tamil Nadu to other states,41
239,‘We’ve surplus oxygen and enough ventilators’,41
265,Delhi police on their feet to keep the Capital breathing,4
530,"Medical O2 crisis increases in Varanasi, hosps ask attendants to shift patients",4
517,"Smaller hospitals say vendors stretched beyond capacity, some stop admitting patients",4
58,"Cops restore O2 supply in hospital, save 350 lives",4
415,Oxygen supply at Noida hospital chain with 140 Covid patients on last legs,4
2,"With O2 running out, Delhi-NCR hosps asking patients to leave",4
24,"Firemen plug O2 pipe leak in NMC hosp, save 42 Covid-19 patients",4
376,"West Bengal polls: Bombs hurled in North 24 Parganas, six injured",19
501,"Violence mars 6th phase of polls, over 79% voter turnout",19
160,"Super League founders wrong to discard sporting merit, says Ancelotti",28
159,"La Liga chief says Super League 'dead', calls for lower spending",28
342,Barcelona’s Joan Laporta maintain support of Super League despite backlash,28
246,Karnataka to buy one crore doses of Covishield at ₹400 cr.,35
71,1- cr doses of Covishield purchase gets nod,35
70,"Biggest single-day spike of 25,795 cases",35
325,"Karnataka Covid-19 wrap: Another biggest one-day spike with 25,795 cases; CM approves Rs 400 crore for vaccine",35
491,K’taka to buy 10mn vaccines at,35
446,India’s Covid-19 tally 330k+; Delhi 1-day toll 306,48
29,All eyes on 'Indian Variant' in Vidarbha 'that led to 2nd wave',48
9,Covid: How did situation get so bad during 2nd wave,48
0,India adds 3 lakh+ Covid cases for second day; over half a million cases in past 2 days,48
512,"‘Rising cases biggest threat to recovery’, says RBI guv Shaktikanta Das",89
127,"Surge biggest recovery hurdle, says RBI guv",89
139,"Car bombing at hotel in southwest Pakistan kills 4, wounds 11",94
506,Pak Taliban behind blast in Quetta,94
149,China says ready to help but India looks elsewhere for oxygen,95
4,China says ready to help but India looks elsewhere for O2,95
444,"India, US announce clean energy initiative",99
268,"‘Time to do the right thing’ on climate, Greta Thunberg tells U.S. Congress",99
136,"Dumping Donald Trump's policies, Joe Biden leads world again in fight against climate change",99
373,Modi govt has enough money but would not provide free vaccines: Mamata,100
218,"Modi has abdicated his responsibility, says Alagiri",100
365,"Illegal immigrants actual outsiders in Bengal, vote bank for Mamata: Amit Shah",100
367,"Covid vaccines to be administered free of cost in Bengal, declares Mamata",100
63,Cops allowed to take Sidhu’s voice sample,103
423,Cops get nod to obtain Sidhu’s voice sample,103
270,Red Fort violence: court allows police to obtain Deep Sidhu’s voice sample,103
190,"Canada to suspend passenger flights from India, Pakistan over COVID-19 fears: source",52
343,UAE bans travel from India amid worsening Covid situation: reports,52
145,Britain's Heathrow Airport turns down airline requests for extra flights from India,52
492,"UAE, Australia, Oman ban travel from India",52
