0,1
0,"Live: Delhi reports 26,169 new Covid-19 cases"
0,O2 supply up but hospitals may still need to cap its use
1,"PM Modi chairs high-level meet on oxygen supply, availability"
1,"Tamil Nadu govt assures high court on the availability of oxygen, ventilators"
2,Haryana imposes fresh curbs: All shops to shut by 6 pm from today; ban on non-essential gatherings
2,"Maharashtra: Tighter curbs on movement, quarantine for inter-district travel"
3,Change in vaccine registration policy leads to confusion at Thrissur’s Elanad health centre
3,Kerala in talks with manufacturers for direct purchase of Covid-19 vaccines
4,"Give country solution, not hollow speeches: Rahul Gandhi to govt on COVID-19 situation"
5,How a Covid surge is sucking the oxygen out of India
5,What all is India running out of?
6,"Coronavirus India, April 22 Highlights: India records world’s highest one-day surge in cases; PM Modi cancels Bengal visit"
6,India's Covid 'storm': How did situation get so bad during second wave
7,8 states to provide free vaccine doses for all above 18. Check list here
7,"At global climate summit, PM Modi unveils new US partnership to foster investments, ties"
7,Atal Pension Yojana sees 79 lakh new additions in FY21
7,Centre advises all its staff to get themselves vaccinated
7,"Country is being run by God, remarks HC amid oxygen shortages"
7,Dissatisfied with measures for polls amid Covid surge: Calcutta HC raps ECI
7,"EC bans roadshows, restricts size of gatherings in Bengal"
7,ICMR gets Centre’s nod to explore option of drones for delivering Covid-19 vaccines
7,India among few countries to meet commitments to Paris Agreement: Indian envoy
7,"Military, defence wings go in overdrive for Covid relief"
7,"Nashik tragedy: FIR registered, probe on"
7,PM Modi agreed to virtually address people of Bengal today: Dilip Ghosh
7,PM urges states to act tough against hoarding of oxygen
7,"Provide cashless treatments, including for Covid-19: IRDAI to hospitals"
7,"Rafale weaponry prompts China, Pak to alter defence posture"
7,Story withdrawn
7,"Ten days before counting, Assam Congress moves candidates to a resort"
7,"UAE, Oman, Australia impose travel curbs on India amid massive Covid-19 surge"
7,Vaccine registration for those above 18 begins Apr 28: Govt
7,"Violence mars 6th phase of polls, over 79% voter turnout"
8,Bengal polls: Over 79% turnout in 6th phase; EC imposes stricter curbs
9,Maulana Wahiduddin Khan: The advocate of religious harmony who told Muslims to relinquish Babri claims
10,Madhya Pradesh: Woman kills self after 3 family members die of COVID-19
11,"Oxygen shortage row: MHA invokes DM act, orders free inter-state movement of oxygen carrying vehicles"
12,India battles oxygen crisis amid Covid surge: Key points
13,Kerala: Saritha Nair held in solar scam case
39,"Janhvi pens apology note on Earth Day, Mira has an important message"
39,"Sardar Ka Grandson a life-affirming film, says Aditi Rao Hydari"
39,"Swara Bhasker shares funny video of Kareena Kapoor, reveals why she's a 'legend'"
39,"Varun shares Malaika's video, says the exercises were useful for him"
40,"Ashwiny Iyer Tiwari on Narayana, Sudha Murthy film: 'My most cherished project'"
44,'Need to do some homework': Samson laments batting as Royals slump to bottom
44,IPL 2021: Devdutt Padikkal century sinks Royals in record chase
44,IPL 2021: Sunrisers Hyderabad pacer T Natarajan ruled out of tournament
45,Virat Kohli becomes first player to score 6000 IPL runs
48,DC statehood approved by House as Senate fight looms
48,"Dumping Donald Trump's policies, Joe Biden leads world again in fight against climate change"
48,Georgia park honoring confederacy gets first Black chair
48,Pakistan court grants bail to opposition leader and PML-N chief Shehbaz Sharif
48,US troops in Afghanistan begin packing gear in pullout prep
49,Britain's Heathrow Airport turns down airline requests for extra flights from India
49,Commonwealth panel acknowledges racism in honoring war dead
49,"Sanctions-battered Iran, weary of pandemic, faces worst wave"
49,Syria receives batch of UN vaccines to speed up virus fight
50,Australia ends China deals on national interest grounds
50,China warns of 'serious harm' to relations as Australia scraps BRI deal
51,Bombing in hotel parking lot kills at least 4 in southwestern Pakistan
51,"Car bombing at hotel in southwest Pakistan kills 4, wounds 11"
51,Hong Kong journalist convicted for accessing public records
51,"Missile from Syria lands in Israel, triggers Israel strike"
52,'Pride and hope': Alexei Navalny praises protests in his support
52,Putin vows a 'quick and tough' Russian response for its foes
53,Afghanistan – the graveyard of empires – ready for a new life
54,Milan gets buzzier with 1 million bees in designer hives
55,Biden to propose capital gains tax as high as 43.4% for wealthy individuals
55,EU looks to sue AstraZeneca over jab
55,Pak Taliban behind blast in Quetta
55,Pregnant women with Covid-19 have higher risks: Study
55,"UK parliament declares genocide in China's Xinjiang, raises pressure on Johnson"
55,"US House passes bill to make Washington, D.C., the 51st state"
56,China willing to help India in Covid-19 fight
56,"India, China factor in regional prosperity; moment of choice for Pak: Afghan's Ghani"
56,Pope warns Earth heading for self-destruction without action
57,Search for Indonesia submarine focuses on oil slick off Bali
57,Sri Lanka expels ship carrying nuclear material for China
58,UK-India full trade deal is in sight: London think tank
79,Covishield to cost Rs 400/dose for state govts
79,Maharashtra allocated only 50% of daily Remdesivir requirement: state health minister
79,Sitaram Yechury’s son dies of Covid-19 at Gurgaon hospital
80,Australia to reduce flights from India among other high-risk COVID-19 countries
80,UAE bans travel from India amid worsening Covid situation: reports
81,Registration for Covid vaccination on CoWIN for those above 18 to begin from April 28
85,"Delhi Police averts crisis, manages to restore oxygen at hospital with over 350 Covid patients"
85,"Delhi oxygen quota hiked, but situation still critical"
85,Delhi police on their feet to keep the Capital breathing
85,Delhi: 306 deaths; positivity rate over 36%
85,Nightmare at noon: Patients die gasping for air at Delhi hospital
85,Small hospitals in Delhi grapple with limited oxygen supply for Covid-19 patients
85,‘6 hospitals ran out of oxygen’
86,5 hrs of oxygen left: Sir Ganga Ram Hospital
86,"Covid care centre with 500 oxygen beds to be reopened in Delhi, to be run by ITBP"
86,Haryana allocates 140 MT of oxygen produced in Panipat to Delhi
86,More number of beds to be added once oxygen crisis is resolved: Delhi health minister
86,"Oxygen for seriously ill Covid-19 patients arranged for 30-40 hrs, Saroj Hospital tells Delhi HC"
87,AAD writes to DU V-C over in-house care centre
87,Airlift oxygen for Delhi from Odisha: BJP
87,"Haryana shops to shut after 6 p.m. from today, says CM"
87,"Haryana, UP govt officials hindering Delhi's oxygen supply, says Delhi deputy CM Manish Sisodia"
87,"Join hands to defeat virus defyingState borders, appeals Kejriwal"
88,"3 IAS officers to ensure oxygen supply to Delhi, police to provide security"
88,"Amid alarming surge in cases, Delhi government to add 25 CATS ambulances within a week"
88,"Barricades on one side of highway at Singhu border will be removed to create passage for services, say farmers"
88,CBSE to give more weightage to competency based questions in new academic session
88,"Delhi police officer, ambulance staff cremate man after family refuses to go near body"
88,"Delhi reports 26,169 new Covid-19 cases; positivity rate at record 36%"
88,Hospitals in Delhi scrape bottom of barrel as oxygen supplies run out
88,"Oxygen supply exhausted in 6 hospitals, 7 others have under 5 hrs left: Sisodia"
88,"With Delhi’s health-care system stretched thin, tele consultation services hit"
89,Covid-19: DDMA takes slew of measures
89,Delhi oxygen crisis: Sisodia writes to Centre
90,"11 more deaths, 530 new cases in G.B. Nagar"
90,"City reports 26,169 cases, 306 deaths"
91,Covid-19 situation in Delhi precarious; Centre to ensure oxygen supply to hospitals: HC
91,‘Country is being run by god’: Delhi HC asks Centre to ensure oxygen supply to hospitals
92,Making efforts to airlift oxygen from Odisha: Delhi chief minister Arvind Kejriwal
93,Red Fort violence: court allows police to obtain Deep Sidhu’s voice sample
94,BJP MP Manoj Tiwari tests positive for Covid
95,Policeman performs last rites of victim after family disowns body
95,Stranded labourers on Yamuna banks bank on hope
96,Delhi Congress leader AK Walia dies of Covid
97,"NGO seeks ration, food for those without card"
98,Labs be not pressured into giving test reports in max 36 hours: HC to Delhi government
125,Apple plans to expand ads business
125,Covid second wave's impact on economy may not be very large: CEA
125,Finance minister says looking at how best to sort out Cairn arbitration
125,JLR to temporarily suspend production at 2 plants from April 26: Tata Motors
125,Swiss authority to probe Credit Suisse over trading losses
126,Finance ministry asks states to vaccinate banking staff on priority basis
126,"MPC minutes: Jump in Covid cases, lockdowns add uncertainty to growth outlook, says Das"
126,UAE suspends flights from India amid Covid surge
127,Fitch affirms 'BBB-' sovereign rating for India
127,"Sensex rallies 375 points; Nifty settles above 14,400-mark"
127,US weekly jobless claims hit 13-month low; home sales tumble
128,Beldara raises $7.4 million from Hindustan Media Ventures
128,CSR funds can be used to set up Covid facilities: MCA
128,"HC dismisses FB, WhatsApp pleas"
128,Implementation of Budget announcements 'on course' despite lockdowns: Sitharaman
128,Lenders to report taxpayers’ interest income above
128,Prices of essential goods climb as curbs hit supply
128,"‘Rising cases biggest threat to recovery’, says RBI guv Shaktikanta Das"
129,"Jack Dorsey, Elon Musk bat for Bitcoin as future of renewable energy"
130,NASSCOM appoints Accenture India head Rekha M Menon as its first woman chairperson
131,India & Covid: Nirmala Sitharaman at first of Express-FT series today
132,Samsung leader Jay Y Lee attends trial amid calls for pardon
150,"IPL 2021, RCB vs RR Highlights: Padikkal, Kohli help Bangalore win by 10 wickets"
150,IPL 2021: SRH pacer Natarajan ruled out of tournament
150,IPL: Padikkal steals thunder from Kohli in big win
150,Need to be frugal in defence: Graham Reid shares notes from India's tour of Argentina
151,Australian golfer Adam Scott opts out of Tokyo Olympics
151,Democratisation of fencing in India
151,Gangjee has a disappointing start in Kansai Open in Japan
151,No.1 Ashleigh Barty among players to get Covid-19 vaccine in US
152,FIH Hockey Pro League: India's away fixtures against Great Britain postponed
152,Formula E moves Mexico City race to Puebla
152,India Open badminton postponed owing to COVID-19 pandemic
152,"La Liga chief says Super League 'dead', calls for lower spending"
152,Neeraj Chopra and Co's Turkey training cum competition trip suspended due to 14-day hard quarantine
152,"Super League founders wrong to discard sporting merit, says Ancelotti"
153,"Ajeetesh Sandhu gets off to a solid start in Spain, shoots 4-under 66"
153,End of road for Sushil Kumar; Amit Dhankar picked for wrestling’s final Olympic qualifier
153,"Federer is my No 1 inspiration, Rossi Valentino says"
153,Nadal downs battling Nishikori to reach Barcelona quarter-finals
153,Pliskova fights back to set up clash with Barty in Stuttgart
153,"RCB vs RR Playing 11, IPL 2021: One change each for both teams"
154,Ex-British Cycling doctor Freeman launches appeal over doping ruling
154,SAI suspends coach for alleged sexual assault on minor
155,COVID has robbed us of the freedom to train as per our plans: Kidambi Srikanth
155,IPL 2021 Preview: MI seek consistency as PBKS eye return to winning ways
155,India not producing genuine all-rounders like Kapil Dev because of workload: VVS Laxman
156,"Kohli first batsman to complete 6,000 runs in IPL"
157,"IPL 2021, RCB vs RR: Action through images"
158,My level will go up a couple of notches when I get fitter: Sai Praneeth
